index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
277,10400,2237,4,8,2400,0
278,10223,2091,5,8,2223,0
279,10137,2074,3,8,2137,0
280,10326,2233,5,8,2326,0
281,10318,2181,3,8,2318,0
282,10123,2161,3,8,2123,0
283,15528,2215,10,13,2528,0
284,10125,2080,3,8,2125,0
285,10147,2092,4,8,2147,0
286,17356,6704,7,15,2356,0
287,11249,2375,6,8,3249,0
288,10911,2466,5,8,2911,0
289,11277,2381,6,8,3277,0
290,10991,2285,6,8,2991,0
291,11033,2499,5,8,3033,0
292,11409,2353,6,9,2409,0
293,11342,2509,6,9,2342,0
294,11584,2476,6,9,2584,0
295,11425,2316,6,9,2425,0
296,11558,2469,6,9,2558,0
297,11769,2495,6,9,2769,0
298,11399,2424,6,9,2399,0
299,11248,2564,6,8,3248,0
300,11177,2391,6,8,3177,0
301,11019,2300,6,8,3019,0
302,11045,2250,6,8,3045,0
303,10909,2336,6,8,2909,0
304,11221,2372,6,8,3221,0
305,10927,2289,6,8,2927,0
306,12032,2430,6,9,3032,0
307,11134,2391,6,8,3134,0
308,11017,2456,6,8,3017,0
309,11163,2270,6,8,3163,0
310,11685,2801,6,9,2685,0
311,11132,2339,6,8,3132,0
312,11064,2300,6,8,3064,0
313,11171,2467,6,8,3171,0
314,11264,2321,6,8,3264,0
315,11052,2310,6,8,3052,0
316,11284,2400,6,8,3284,0
317,11114,2376,6,8,3114,0
318,11281,2359,6,8,3281,0
319,11122,2351,6,8,3122,0
320,11183,2401,6,8,3183,0
321,11310,2435,6,8,3310,0
322,11231,2439,6,8,3231,0
323,11505,2423,6,9,2505,0
324,11236,2315,6,8,3236,0
325,11076,2393,6,8,3076,0
326,11309,2418,6,8,3309,0
327,11149,2355,6,8,3149,0
328,11248,2345,6,8,3248,0
329,11192,2350,6,8,3192,0
330,11372,2452,6,9,2372,0
331,11138,2296,6,8,3138,0
332,11141,2329,6,8,3141,0
333,10921,2337,6,8,2921,0
334,11192,2432,6,8,3192,0
335,11062,2351,6,8,3062,0
336,17334,6737,8,15,2334,0
337,11180,2327,6,8,3180,0
338,12389,2301,7,10,2389,0
339,11239,2501,6,8,3239,0
340,11128,2301,6,8,3128,0
341,10968,2343,6,8,2968,0
342,11074,2318,6,8,3074,0
343,10288,2308,5,8,2288,0
344,10952,2194,6,8,2952,0
345,13135,2231,6,8,5135,0
346,10901,2360,6,8,2901,0
347,11064,2220,6,8,3064,0
348,10896,2359,6,8,2896,0
349,10924,2347,6,8,2924,0
350,10956,2274,6,8,2956,0
351,10786,2230,5,8,2786,0
352,11080,2362,6,8,3080,0
353,11422,2169,6,9,2422,0
