index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
264,10600,2172,6,8,2600,0
265,10536,2200,6,8,2536,0
266,10535,2254,5,8,2535,0
267,10553,2244,5,8,2553,0
268,10601,2238,5,8,2601,0
269,10522,2329,4,8,2522,0
270,10440,2214,5,8,2440,0
271,10282,2181,5,8,2282,0
272,10654,2248,6,8,2654,0
273,10425,2271,4,8,2425,0
274,10438,2274,4,8,2438,0
275,10376,2156,5,8,2376,0
276,10719,2467,5,8,2719,0
277,10636,2229,6,8,2636,0
278,10484,2256,4,8,2484,0
279,10713,2218,6,8,2713,0
280,10607,2217,5,8,2607,0
281,10542,2263,4,8,2542,0
282,10509,2218,5,8,2509,0
283,10584,2303,5,8,2584,0
284,10482,2232,5,8,2482,0
285,10282,2168,3,8,2282,0
286,10604,2257,4,8,2604,0
287,10482,2215,5,8,2482,0
288,16408,6600,5,14,2408,0
289,10495,2276,5,8,2495,0
290,10487,2150,6,8,2487,0
291,10577,2166,6,8,2577,0
292,10535,2240,6,8,2535,0
293,10241,2107,5,8,2241,0
294,10308,2248,4,8,2308,0
295,10478,2241,5,8,2478,0
296,10691,2151,5,8,2691,0
297,12236,2347,7,10,2236,0
298,10718,2159,4,8,2718,0
299,10540,2236,5,8,2540,0
300,10606,2206,5,8,2606,0
301,10533,2319,3,8,2533,0
302,10378,2232,4,8,2378,0
303,10509,2148,5,8,2509,0
304,10166,2172,3,8,2166,0
305,10402,2170,4,8,2402,0
306,10444,2131,6,8,2444,0
307,10362,2217,4,8,2362,0
308,10253,2167,4,8,2253,0
309,10352,2274,3,8,2352,0
310,10156,2140,4,8,2156,0
311,9897,2104,3,7,2897,0
312,10279,2167,4,8,2279,0
313,10364,2201,3,8,2364,0
314,10220,2180,3,8,2220,0
315,10177,2161,3,8,2177,0
316,10293,2156,4,8,2293,0
317,10193,2102,4,8,2193,0
318,10332,2171,5,8,2332,0
319,10366,2207,4,8,2366,0
320,10184,2192,4,8,2184,0
321,10241,2256,4,8,2241,0
322,10112,2115,3,7,3112,0
323,10044,2139,3,7,3044,0
324,10235,2242,3,8,2235,0
325,10176,2193,3,8,2176,0
326,10082,2190,3,7,3082,0
327,10030,2195,3,8,2030,0
328,10109,2100,3,7,3109,0
329,9938,2070,3,7,2938,0
330,10127,2211,4,8,2127,0
331,10209,2195,3,8,2209,0
332,10239,2206,3,8,2239,0
333,10198,2184,4,8,2198,0
334,10313,2182,3,8,2313,0
335,10224,2169,3,8,2224,0
336,10330,2176,4,8,2330,0
337,15865,5956,5,13,2865,0
338,10690,2308,5,8,2690,0
339,12004,2199,5,9,3004,0
340,10302,2130,4,8,2302,0
341,10060,2135,4,7,3060,0
342,10202,2148,3,8,2202,0
343,10031,2073,4,8,2031,0
344,10332,2197,4,8,2332,0
345,10003,2143,3,7,3003,0
346,10305,2089,5,8,2305,0
347,10157,2082,4,8,2157,0
348,10323,2237,3,8,2323,0
349,10048,2067,3,7,3048,0
350,10302,2206,4,8,2302,0
351,10172,2179,4,8,2172,0
