index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
200,16244,2340,7,13,3244,3
201,29355,2435,11,27,2355,12
202,31232,2257,11,29,2232,14
203,16215,2351,6,13,3215,4
204,30614,2210,13,28,2614,12
205,30827,2233,11,28,2827,14
206,15107,2338,6,12,3107,3
207,30775,2343,12,28,2775,12
208,16537,2260,6,14,2537,5
209,31314,2308,12,28,3314,13
210,31065,2324,10,28,3065,15
211,31030,2254,13,28,3030,12
212,15105,2154,5,12,3105,4
213,16787,2327,11,14,2787,0
214,29945,2368,11,27,2945,12
215,33010,2492,13,30,3010,12
216,14267,2464,6,11,3267,2
217,30748,2314,11,28,2748,13
218,19930,2388,8,15,4930,3
219,27274,3940,11,24,3274,8
220,32227,2338,11,29,3227,15
221,17962,2583,8,15,2962,2
222,27741,2577,13,25,2741,8
223,16706,2325,6,13,3706,4
224,31315,2778,13,29,2315,11
225,17387,2719,7,15,2387,3
226,29569,3228,13,27,2569,9
227,30651,2576,11,28,2651,13
228,30631,2415,12,28,2631,12
229,16768,2522,7,14,2768,3
230,30027,2391,13,27,3027,10
231,31144,2331,12,28,3144,13
232,17781,2316,8,15,2781,4
233,28809,2573,13,26,2809,9
234,32129,2521,11,29,3129,15
235,23837,2343,8,15,8837,4
236,38112,6883,13,35,3112,14
237,15521,2559,6,12,3521,2
238,31618,2527,9,28,3618,15
239,15046,2494,5,12,3046,2
240,17989,2279,7,12,5989,1
241,29183,3217,18,25,4183,3
242,15882,2283,6,12,3882,3
243,33227,2683,12,30,3227,15
244,19093,2314,12,16,3093,1
245,24850,2372,11,20,4850,6
246,29718,2561,13,27,2718,10
247,18387,2225,9,15,3387,3
248,27132,2427,12,24,3132,9
249,15443,2513,6,12,3443,3
250,20219,2645,9,12,8219,0
251,23670,2555,12,21,2670,5
252,19323,4648,10,16,3323,1
253,27488,2374,14,24,3488,7
254,31005,2460,11,28,3005,13
255,31644,2643,11,29,2644,14
256,17702,2425,8,15,2702,3
257,27982,2487,11,25,2982,10
258,16963,2485,6,14,2963,3
259,30226,2547,10,27,3226,13
260,30768,2411,12,28,2768,12
261,17624,2505,7,14,3624,3
262,29834,3431,7,27,2834,15
263,29652,2467,11,27,2652,12
264,30636,2291,12,28,2636,13
265,15623,2184,6,13,2623,4
266,17398,2510,5,13,4398,4
267,14980,2490,7,12,2980,1
268,31797,2692,11,28,3797,13
269,29752,3819,7,27,2752,15
270,30938,2429,11,28,2938,14
271,30808,2389,12,28,2808,13
272,16380,2399,6,13,3380,3
273,30666,2331,14,28,2666,10
274,19766,2372,10,17,2766,3
275,87812,2562,37,54,33812,12
276,60900,2745,37,58,2900,16
277,77969,33893,37,75,2969,3
278,79233,2634,68,76,3233,3
279,45874,2369,37,43,2874,3
280,19425,4068,10,16,3425,2
281,26568,2664,11,24,2568,10
282,17079,2374,7,14,3079,4
283,31185,2429,11,28,3185,14
284,46258,2501,37,43,3258,2
285,78376,33745,37,75,3376,3
286,83175,33891,37,74,9175,2
287,25021,6722,13,22,3021,1
288,31107,6945,6,28,3107,14
289,30461,2418,13,27,3461,11
290,30347,2523,11,28,2347,13
291,16637,2406,6,14,2637,4
292,30822,2726,11,28,2822,13
293,30350,2619,10,27,3350,14
294,30969,3805,8,28,2969,15
295,16662,2387,7,13,3662,3
296,29536,2560,12,27,2536,11
297,18083,2401,7,15,3083,4
298,29090,2606,12,26,3090,11
299,30815,2589,13,28,2815,12
300,17381,2358,7,14,3381,4
301,30185,2437,11,27,3185,13
302,30372,2382,11,28,2372,13
303,15612,2303,6,13,2612,3
304,31031,2442,13,28,3031,11
305,32089,2372,11,29,3089,14
306,17590,2591,9,15,2590,1
307,28794,10893,9,26,2794,5
308,28670,2328,11,26,2670,12
309,17598,2336,12,15,2598,0
310,29550,6951,6,27,2550,12
311,30883,2501,10,28,2883,14
312,15290,2321,6,12,3290,3
313,31074,2729,10,28,3074,14
314,30363,2596,12,27,3363,11
315,30413,2389,13,28,2413,11
316,16629,2578,6,12,4629,2
317,16381,2393,8,13,3381,2
318,28336,2505,12,26,2336,10
319,32261,2642,10,29,3261,15
320,17482,2684,7,14,3482,3
321,29521,2595,10,27,2521,12
322,30752,2321,10,28,2752,14
323,15713,2304,6,13,2713,4
324,31165,2572,11,28,3165,14
325,16786,2376,7,14,2786,3
326,29623,2595,11,27,2623,12
327,19529,2602,9,15,4529,3
328,27400,3791,11,24,3400,7
329,30875,3310,17,28,2875,6
330,32554,2440,13,29,3554,12
331,15273,2441,6,12,3273,2
332,30319,2675,11,28,2319,12
333,17387,2434,6,13,4387,3
334,30518,2300,12,28,2518,11
335,29664,8387,11,27,2664,6
336,30710,2623,13,28,2710,11
337,17379,2431,8,14,3379,3
