elapsed_ms,pid,working_set_bytes,private_bytes,cpu_seconds
315249,20516,15556608,7151616,12.28125
316257,20516,15556608,7151616,12.3125
317278,20516,15560704,7151616,12.34375
318289,20516,15560704,7151616,12.34375
319302,20516,15564800,7151616,12.375
320323,20516,15564800,7151616,12.421875
321344,20516,15577088,7151616,12.453125
322352,20516,15581184,7151616,12.453125
323370,20516,15593472,7151616,12.5625
324379,20516,15601664,7151616,12.59375
325388,20516,15605760,7151616,12.640625
326409,20516,15618048,7151616,12.65625
327423,20516,15618048,7151616,12.671875
328432,20516,15618048,7151616,12.75
329441,20516,15618048,7151616,12.78125
330449,20516,15618048,7151616,12.859375
331468,20516,15503360,6778880,12.90625
332484,20516,15523840,6782976,12.9375
333503,20516,15523840,6782976,12.984375
334510,20516,15536128,6754304,13.046875
335522,20516,15540224,6754304,13.09375
336530,20516,15540224,7122944,13.140625
337539,20516,15556608,7122944,13.234375
338549,20516,15556608,7122944,13.265625
339557,20516,15556608,7122944,13.28125
340566,20516,15581184,7122944,13.3125
341581,20516,15585280,7122944,13.375
342594,20516,15585280,7122944,13.375
343607,20516,15585280,7122944,13.375
344619,20516,15671296,7122944,13.40625
345635,20516,15675392,7122944,13.453125
346648,20516,15462400,6610944,13.484375
347657,20516,15470592,6721536,13.53125
348666,20516,15466496,6721536,13.546875
349686,20516,15511552,6721536,13.546875
350707,20516,15413248,6594560,13.578125
351728,20516,15585280,7122944,13.625
352748,20516,15446016,6610944,13.640625
353767,20516,15470592,6787072,13.65625
354786,20516,15495168,6787072,13.671875
355796,20516,15544320,7122944,13.734375
356818,20516,15552512,7122944,13.734375
357828,20516,15392768,6529024,13.78125
358841,20516,15425536,6721536,13.84375
359851,20516,15450112,6721536,13.921875
360861,20516,15450112,6721536,13.953125
361882,20516,15548416,6721536,13.953125
362894,20516,15515648,6721536,13.96875
363903,20516,15515648,6721536,14.015625
364923,20516,15474688,6656000,14.03125
365931,20516,15532032,7053312,14.078125
366942,20516,15532032,7053312,14.125
367963,20516,15462400,6660096,14.21875
368972,20516,15556608,6721536,14.265625
369982,20516,15527936,7028736,14.265625
371001,20516,15536128,7122944,14.28125
372011,20516,15482880,6721536,14.328125
373021,20516,15486976,6721536,14.375
374035,20516,15486976,6721536,14.390625
375053,20516,15499264,6721536,14.453125
376061,20516,15417344,6713344,14.453125
377068,20516,15425536,6721536,14.46875
378076,20516,15433728,6721536,14.484375
379089,20516,15482880,6721536,14.53125
380110,20516,15515648,6721536,14.53125
381119,20516,15564800,7122944,14.53125
382127,20516,15568896,7122944,14.546875
383138,20516,15560704,6787072,14.5625
384158,20516,15548416,6787072,14.59375
385166,20516,15548416,6787072,14.609375
386176,20516,15564800,7122944,14.734375
387184,20516,15564800,7122944,14.796875
388193,20516,15564800,7122944,14.8125
389205,20516,15564800,7122944,14.828125
390225,20516,15609856,7122944,14.875
391245,20516,15478784,6639616,14.921875
