experiment,index,elapsed_us,admission_us,phase,acceptance
warm,360,14906,2206,completed,unchecked
warm,361,15315,2200,completed,unchecked
warm,362,14747,2274,completed,unchecked
warm,363,15008,2255,completed,unchecked
warm,364,15367,2281,completed,unchecked
warm,365,15805,2230,completed,unchecked
warm,366,14731,2285,completed,unchecked
warm,367,15538,2267,completed,unchecked
warm,368,15032,2254,completed,unchecked
warm,369,15899,2212,completed,unchecked
warm,370,16145,2273,completed,unchecked
warm,371,15309,2303,completed,unchecked
warm,372,15613,2232,completed,unchecked
warm,373,15015,2304,completed,unchecked
warm,374,15458,2299,completed,unchecked
warm,375,16117,2419,completed,unchecked
warm,376,15284,2413,completed,unchecked
warm,377,15586,2292,completed,unchecked
warm,378,15167,2333,completed,unchecked
warm,379,15255,2442,completed,unchecked
warm,380,15689,2412,completed,unchecked
warm,381,14826,2313,completed,unchecked
warm,382,15212,2325,completed,unchecked
warm,383,16067,2311,completed,unchecked
warm,384,14692,2304,completed,unchecked
warm,385,15371,2272,completed,unchecked
warm,386,15556,2276,completed,unchecked
warm,387,21784,2272,completed,unchecked
warm,388,26179,2369,completed,unchecked
warm,389,14821,2287,completed,unchecked
warm,390,15430,2411,completed,unchecked
warm,391,15114,2176,completed,unchecked
warm,392,15194,2278,completed,unchecked
warm,393,15996,2203,completed,unchecked
warm,394,15881,2363,completed,unchecked
warm,395,15240,2326,completed,unchecked
warm,396,15213,2323,completed,unchecked
warm,397,15224,2313,completed,unchecked
warm,398,15584,2300,completed,unchecked
warm,399,14917,2250,completed,unchecked
warm,400,15203,2348,completed,unchecked
warm,401,10534,2163,completed,unchecked
warm,402,20550,2357,completed,unchecked
warm,403,14953,2227,completed,unchecked
warm,404,14800,2255,completed,unchecked
warm,405,15093,2345,completed,unchecked
warm,406,15959,2310,completed,unchecked
warm,407,14659,2327,completed,unchecked
warm,408,15730,2273,completed,unchecked
warm,409,15683,2349,completed,unchecked
warm,410,15353,2261,completed,unchecked
warm,411,16052,2446,completed,unchecked
warm,412,15966,2344,completed,unchecked
warm,413,15800,2247,completed,unchecked
warm,414,16139,2287,completed,unchecked
warm,415,14580,2441,completed,unchecked
warm,416,15360,2315,completed,unchecked
warm,417,15597,2260,completed,unchecked
warm,418,15456,2390,completed,unchecked
warm,419,15806,2318,completed,unchecked
warm,420,16260,2166,completed,unchecked
warm,421,14882,2252,completed,unchecked
