index,total_us,admission_us,journal_before_terminal_ms,terminal_event_ms,terminal_tail_upper_us,model_duration_ms
201,15003,2543,6,12,3003,3
202,16815,2264,7,14,2815,4
203,13492,2315,7,11,2492,0
204,15595,2196,6,13,2595,4
205,16064,2345,6,13,3064,4
206,15171,2360,7,12,3171,2
207,15779,3152,6,13,2779,2
208,16242,2476,6,13,3242,4
209,15220,2390,6,12,3220,3
210,16955,2407,9,14,2955,2
211,15227,3982,6,12,3227,1
212,15183,2251,6,12,3183,3
213,11300,2364,6,8,3300,0
214,20108,2452,6,17,3108,8
215,14977,2395,6,12,2977,3
216,16098,2336,6,13,3098,4
217,15544,2274,5,13,2544,4
218,15370,2420,6,13,2370,4
219,20045,2287,6,13,7045,4
220,26351,2380,6,23,3351,14
221,15964,2502,8,13,2964,1
222,15738,2356,6,13,2738,4
223,14918,2340,6,12,2918,3
224,16431,2340,6,13,3431,3
225,14589,3987,6,12,2589,1
226,15983,2293,6,13,2983,4
227,15425,2332,6,13,2425,4
228,17643,2418,6,13,4643,4
229,29510,2451,8,27,2510,15
230,16096,2330,6,13,3096,4
231,15964,2456,6,13,2964,4
232,16562,3791,7,14,2562,2
233,13654,3692,6,11,2654,1
234,14850,2339,6,12,2850,3
235,15570,2296,6,13,2570,4
236,15587,2298,6,13,2587,4
237,16219,2282,6,13,3219,4
238,15918,2377,6,13,2918,4
239,30511,2373,16,28,2511,8
240,15006,2339,6,12,3006,3
241,16316,2402,6,13,3316,4
242,15794,2435,7,13,2794,3
243,15715,2327,7,11,4715,1
244,13738,2394,6,11,2738,2
245,16254,2378,6,13,3254,4
246,17506,2354,6,13,4506,4
247,13010,2389,6,10,3010,1
248,14893,2246,6,12,2893,4
249,16179,2293,6,13,3179,5
250,12692,2618,6,10,2692,1
251,15138,2315,6,12,3138,4
252,18765,2401,8,16,2765,5
253,13529,2325,6,11,2529,2
254,15816,2264,5,13,2816,5
255,15350,2414,6,13,2350,4
256,15169,2367,6,12,3169,4
257,15857,2284,5,13,2857,5
258,15568,2256,6,13,2568,4
259,15303,2302,5,13,2303,4
260,15744,2247,5,13,2744,5
261,17567,2226,6,13,4567,4
262,13699,2355,5,11,2699,2
263,15042,2447,6,12,3042,4
264,15403,2206,6,13,2403,4
265,15140,2303,6,12,3140,4
266,10757,2291,6,8,2757,0
267,20226,2282,6,17,3226,9
268,15355,2314,5,13,2355,4
269,17118,2206,7,14,3118,5
270,14557,2230,6,12,2557,2
271,15656,2235,6,13,2656,4
272,15135,2292,6,12,3135,4
273,10841,2288,5,8,2841,0
274,19958,2226,6,17,2958,9
275,16245,2324,6,14,2245,5
276,16866,2435,8,14,2866,2
277,14092,2285,6,11,3092,3
278,14980,2390,6,12,2980,4
279,17047,2301,6,14,3047,5
280,15180,2300,7,12,3180,2
281,14949,2312,6,12,2949,3
282,14963,2248,6,12,2963,4
283,15472,2250,6,13,2472,4
284,15275,3697,6,12,3275,2
285,15457,2270,6,13,2457,4
286,15136,2258,6,12,3136,4
287,18907,2308,6,12,6907,4
288,26785,4157,6,24,2785,14
289,15293,2251,6,13,2293,4
290,15515,2270,7,13,2515,3
291,15935,2305,6,13,2935,5
292,15001,2298,6,12,3001,4
293,15345,2360,6,13,2345,4
294,15587,2302,7,13,2587,3
295,15539,2351,6,13,2539,4
296,15347,2227,6,13,2347,4
297,15771,2248,6,13,2771,5
298,15994,3627,6,13,2994,3
299,16074,3590,5,13,3074,3
300,14950,2160,5,12,2950,4
301,10415,2287,5,8,2415,0
302,21697,2203,5,19,2697,10
303,15517,3497,6,13,2517,3
304,15307,2320,5,13,2307,4
305,15309,2355,5,13,2309,4
306,15988,2223,5,13,2988,5
307,15785,2181,5,13,2785,5
308,15294,2186,6,13,2294,4
309,16053,2187,7,13,3053,3
310,16093,3574,6,13,3093,3
311,14656,2189,5,12,2656,4
312,16041,2143,5,13,3041,5
313,15582,5320,6,13,2582,1
